BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,STREET_NAME,FORMATTED_ADDRESS
Brokered by Idea Property and Real Estate,Villa for sale,"74,344,208",3,2,"3,270.62","Kirulapona, Colombo",Colombo,Kirulapona,Colombo,Kirulapona,,"Kirulapona, Colombo"
Brokered by Dream Homes Real Estate Property,House for sale,"87,339,487",4,3,"2,737.45","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Sasiri Land Sale,House for sale,"404,819,885",8,5,"9,019.70","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by S Threads Property,House for sale,"62,921,604",1,1,"1,401.94","Pamankada, Colombo",Colombo,Pamankada,Colombo,Pamankada,,"Pamankada, Colombo"
Brokered by Sithara Pavithra,House for sale,"106,350,691",5,5,"4,828.45","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"47,846,355",5,3,"2,475.81","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Property Solutions,House for sale,"62,884,793",5,3,"2,215.23","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by DJ Luxury Realty,House for sale,"42,292,017",2,3,"1,746.52","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Wasana Homes and Lands,House for sale,"307,400,534",9,8,"8,944.48","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by SEV Real Estate,House for sale,"162,058,496",4,4,"3,610.79","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"22,486,270",4,3,"2,755.56","Padukka, Colombo",Colombo,Padukka,Colombo,Padukka,,"Padukka, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"52,444,435",4,3,"3,325.75","Morakatiya, Colombo",Colombo,Morakatiya,Colombo,Morakatiya,,"Morakatiya, Colombo"
Brokered by Idea Property and Real Estate,House for sale,"40,375,849",3,3,"1,817.11","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Dream Property,House for sale,"55,840,635",4,4,"3,112.32","Kothalawala, Colombo",Colombo,Kothalawala,Colombo,Kothalawala,,"Kothalawala, Colombo"
No broker,House for sale,"14,500,000",3,2,"1,400.00","Kahathuduwa, Kesbewa",Colombo,"Kahathuduwa, Kesbewa",Colombo,Kesbewa,,"Kahathuduwa, Kesbewa"
Brokered by PK Property Solutions,House for sale,"29,377,383",3,2,"1,538.25","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by AA Real Estate Agents,House for sale,"75,308,851",5,4,"2,427.23","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Prime Lands,House for sale,"65,000,000",3,3,"3,011.00","Moratuwa, Colombo",Colombo,"Moratuwa, Colombo",Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Wasana Homes and Lands,House for sale,"63,302,593",3,4,"3,839.27","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by KP Agasthi Property,House for sale,"46,879,065",3,3,"1,044.50","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Dream Property,House for sale,"345,510,326",6,5,"8,267.16","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Daraa Salam Properties,House for sale,"55,711,440",4,4,"4,152.46","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by PK Property Solutions,House for sale,"136,381,909",6,5,"4,274.54","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Platinum Property & Construction,House for sale,"55,884,055",4,3,"3,370.36","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by PEO Lands Real Estate,House for sale,"67,571,053",1,1,"1,505.54","Pamankada, Colombo",Colombo,Pamankada,Colombo,Pamankada,,"Pamankada, Colombo"
Brokered by Property Solutions,House for sale,"47,312,248",3,4,"1,054.15","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Asantha Real Estate,House for sale,"82,853,004",4,4,"4,286.25","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by DJ Luxury Realty,House for sale,"20,863,326",4,3,"1,644.50","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by Citadel Trading ,Villa for sale,"98,115,012",4,4,"2,186.08","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by SEV Real Estate,House for sale,"35,196,708",5,4,"2,571.94","Kottawa, Colombo",Colombo,Kottawa,Colombo,Kottawa,,"Kottawa, Colombo"
Brokered by Asantha Real Estate,House for sale,"39,422,646",4,3,"2,240.10","Makadana, Colombo",Colombo,Makadana,Colombo,Makadana,,"Makadana, Colombo"
Brokered by Asitha Properties,House for sale,"34,786,645",5,4,"4,262.90","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by S Thedas Property,House for sale,"19,611,652",4,3,"2,403.30","Padukka, Colombo",Colombo,Padukka,Colombo,Padukka,,"Padukka, Colombo"
Brokered by AA Real Estate Agents,House for sale,"59,194,274",3,2,"3,163.72","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"59,177,522",4,3,"3,341.36","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Real Mart,Villa for sale,"133,316,980",6,4,"3,790.37","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Lakshan Rent House,House for sale,"31,155,197",4,3,"2,523.61","Piliyandala, Colombo",Colombo,Piliyandala,Colombo,Piliyandala,,"Piliyandala, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"25,580,974",2,2,"1,448.14","Athurugiriya, Colombo",Colombo,Athurugiriya,Colombo,Athurugiriya,,"Athurugiriya, Colombo"
Brokered by Dream Consultant,House for sale,"29,476,237",3,2,"1,768.89","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Propertydeal.lk,House for sale,"192,538,471",5,4,"4,289.91","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by S Thedas Property,House for sale,"39,800,000",4,3,"1,800.00","Diyagama, Homagama",Colombo,"Diyagama, Homagama",Colombo,Homagama,,"Diyagama, Homagama"
Brokered by Platinum Property & Construction,House for sale,"50,195,570",3,3,"3,295.59","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Lakshan Rent House,House for sale,"138,045,963",4,4,"5,332.63","Dematagoda, Colombo",Colombo,Dematagoda,Colombo,Dematagoda,,"Dematagoda, Colombo"
Brokered by ZamZam Properties Pvt Ltd,House for sale,"88,109,060",4,3,"2,842.84","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Sasiri Land sale,House for sale,"216,253,300",7,4,"4,818.29","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by PEO Lands Real Estate,House for sale,"33,240,718",4,3,"1,896.73","Kottawa, Colombo",Colombo,Kottawa,Colombo,Kottawa,,"Kottawa, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"41,774,948",4,3,"2,230.90","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by ZamZam Properties Pvt Ltd,House for sale,"173,147,225",3,4,"3,857.85","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by Idea Property and Real Estate,House for sale,"199,872,233",3,4,"4,453.31","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by DJ Luxury Realty,House for sale,"14,098,924",2,2,896,"Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Sooriya Land Sale,House for sale,"55,109,638",5,5,"3,497.79","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Lakshan Rent House,House for sale,"28,547,316",3,3,"2,090.78","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Mohammed Rizmi,House for sale,"137,951,276",5,4,"3,090.99","Kohuwala, Colombo",Colombo,Kohuwala,Colombo,Kohuwala,,"Kohuwala, Colombo"
Brokered by Colombo Property Holdings,House for sale,"91,442,467",4,5,"3,134.64","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by DJ Luxury Realty,House for sale,"44,840,050",4,3,"2,256.19","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by BR Property Agents Pvt Ltd,House for sale,"103,483,758",5,4,"4,496.54","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by Sasiri Land sale,Villa for sale,"18,526,420",4,3,"1,462.32","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brrokered by Priyankara Kavirathna,House for sale,"29,778,563",3,2,"2,542.97","Pamankada, Colombo",Colombo,Pamankada,Colombo,Pamankada,,"Pamankada, Colombo"
Brokered by Infinity Properties,House for sale,"183,417,257",7,4,"4,086.68","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Ideal Marketing,House for sale,"40,783,337",4,4,"4,293.74","Malabe, Colombo",Colombo,Malabe,Colombo,Malabe,,"Malabe, Colombo"
Brokered by SEV Real Estate,House for sale,"66,425,062",4,3,"1,743.48","Colombo 9, Colombo",Colombo,Colombo 9,Colombo,Colombo 9,,"Colombo 9, Colombo"
Brokered by KP Agasthi Property,House for sale,"11,333,397",4,2,"1,359.01","Pannipitiya, Colombo",Colombo,Pannipitiya,Colombo,Pannipitiya,,"Pannipitiya, Colombo"
Brokered by Asantha Real Estate,House for sale,"206,094,401",4,4,"4,591.94","Bambalapitiya , Colombo",Colombo,Bambalapitiya ,Colombo,Bambalapitiya ,,"Bambalapitiya , Colombo"
Brokered by Infinity Properties,House for sale,"101,722,087",5,3,"3,697.48","Kottawa, Colombo",Colombo,Kottawa,Colombo,Kottawa,,"Kottawa, Colombo"
Brokered by S Thedas Property,House for sale,"28,442,759",2,2,"1,721.86","Makumbura, Colombo",Colombo,Makumbura,Colombo,Makumbura,,"Makumbura, Colombo"
Brokered by Mohammed Rizmi,House for sale,"94,721,768",3,2,"4,529.84","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by Dream Property,House for sale,"27,018,841",4,3,"2,643.50","Piliyandala, Colombo",Colombo,Piliyandala,Colombo,Piliyandala,,"Piliyandala, Colombo"
Brokered by PK Property Solutions,House for sale,"14,396,356",3,2,"1,373.23","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by Property Solutions,House for sale,"27,178,368",4,4,"2,364.16","Kottawa, Colombo",Colombo,Kottawa,Colombo,Kottawa,,"Kottawa, Colombo"
Brokered by Property Management Company,House for sale,"317,780,100",9,8,"8,897.65","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Dilruwan Real Estate,House for sale,"21,199,443",2,2,"1,337.73","Makumbura, Colombo",Colombo,Makumbura,Colombo,Makumbura,,"Makumbura, Colombo"
Brokered by Sooriya Land Sale,House for sale,"50,873,404",5,3,"4,037.13","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Propertydeal.lk,House for sale,"109,320,202",5,5,"2,885.37","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Dream Property,House for sale,"52,478,408",3,4,"3,512.06","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Dream Consultant,House for sale,"131,406,975",5,5,"4,910.30","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by Dream Consultant,House for sale,"39,360,169",4,4,"2,103.56","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by Dream Property,House for sale,"126,342,631",8,7,"3,959.54","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by KP Agasthi Property,House for sale,"139,673,668",8,7,"3,795.77","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Platinum Property & Construction,House for sale,"44,079,483",4,4,"2,273.98","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Dream Homes Real Estate Property,House for sale,"36,897,770",2,1,"2,626.53","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by Wasana Homes and Lands,House for sale,"130,054,244",4,4,"4,241.42","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by S Threads Property,House for sale,"56,404,228",3,2,"2,291.34","Malabe, Colombo",Colombo,Malabe,Colombo,Malabe,,"Malabe, Colombo"
Brokered by SEV Real Estate,House for sale,"17,214,306",3,2,896,"Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Wasana Homes and Lands,House for sale,"58,353,210",4,4,"2,760.55","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Sithara Pavithra,House for sale,"86,132,100",5,3,"3,978.09","Kottawa, Colombo",Colombo,Kottawa,Colombo,Kottawa,,"Kottawa, Colombo"
Brokered by DJ Luxury Realty,House for sale,"123,269,788",3,4,"3,833.30","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Dream Homes Real Estate Property,House for sale,"51,077,301",3,3,"2,056.15","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Real Mart,House for sale,"40,170,696",4,3,"3,717.38","Morakatiya, Colombo",Colombo,Morakatiya,Colombo,Morakatiya,,"Morakatiya, Colombo"
Brokered by GoldMark Property Consultancy,House for sale,"100,002,032",5,4,"3,348.28","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by Asantha Real Estate,House for sale,"43,240,022",2,3,"1,665.86","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Idea Property and Real Estate,House for sale,"10,835,716",3,2,"1,327.85","Padukka, Colombo",Colombo,Padukka,Colombo,Padukka,,"Padukka, Colombo"
Brokered by Lakshan Rent House,House for sale,"118,724,544",5,6,"2,645.27","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by Dream Consultant,House for sale,"45,006,620",3,3,"2,834.40","Maharagama, Colombo",Colombo,Maharagama,Colombo,Maharagama,,"Maharagama, Colombo"
Brokered by Dream Property,House for sale,"104,545,233",4,4,"4,561.87","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Neththaru Property,House for sale,"29,178,499",6,4,"3,575.66","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Neththaru Property,House for sale,"46,816,344",3,2,"2,609.21","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Neththaru Property,House for sale,"53,105,125",5,4,"2,995.99","Morakatiya, Colombo",Colombo,Morakatiya,Colombo,Morakatiya,,"Morakatiya, Colombo"
Brokered by Sasiri Land Sale,House for sale,"46,362,148",4,3,"3,002.52","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"25,353,125",2,3,"2,239.41","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Wasana Homes and Lands,House for sale,"230,060,421",5,5,"5,258.38","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by KP Agasthi Property,House for sale,"278,908,378",7,5,"6,214.29","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by AP Lands And Housing Service,House for sale,"34,087,424",3,3,"1,856.27","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by PK Property Solutions,House for sale,"28,490,424",3,3,"2,413.89","Kaduwela, Colombo",Colombo,Kaduwela,Colombo,Kaduwela,,"Kaduwela, Colombo"
No broker,House for sale,"60,677,424",5,3,"3,054.79","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Ideal Marketing,House for sale,"100,184,092",5,5,"4,629.03","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Mohammed Rizmi,House for sale,"71,088,181",5,5,"4,294.42","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by Property Advertising,House for sale,"43,914,436",3,3,"2,096.84","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Neththaru Property,House for sale,"53,828,775",5,3,"3,141.81","Awissawella, Colombo",Colombo,Awissawella,Colombo,Awissawella,,"Awissawella, Colombo"
Brokered by Dream Property,House for sale,"27,367,202",6,4,"2,625.05","Colombo 8, Colombo",Colombo,Colombo 8,Colombo,Colombo 8,,"Colombo 8, Colombo"
Brokered by PK Property Solutions,House for sale,"35,988,896",3,3,"2,067.66","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Mohammed Rizmi,House for sale,"26,454,595",3,2,"1,335.93","Padukka, Colombo",Colombo,Padukka,Colombo,Padukka,,"Padukka, Colombo"
Brokered by Telemarketing Colombo,House for sale,"193,047,325",5,5,"4,301.24","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Dream Consultant,House for sale,"14,394,810",3,2,"1,358.67","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"404,819,885",9,5,"9,019.70","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by PEO Lands Real Estate,House for sale,"35,903,258",4,3,"2,649.91","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Sithara Pavithra,House for sale,"227,120,490",6,5,"5,060.42","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Sasiri Land Sale,House for sale,"73,729,476",5,4,"1,642.75","Bambalapitiya , Colombo",Colombo,Bambalapitiya ,Colombo,Bambalapitiya ,,"Bambalapitiya , Colombo"
Brokered by Platinum Property & Construction,House for sale,"167,157,601",5,4,"4,313.17","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by KP Agasthi Property,House for sale,"12,362,028",1,1,"1,274.94","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Neththaru Property,House for sale,"12,717,201",3,2,"1,558.42","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by PK Property Solutions,House for sale,"19,446,294",2,2,"1,533.09","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Asantha Real Estate,House for sale,"61,057,957",4,4,"3,058.47","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Propertydeal.lk,House for sale,"40,393,275",4,3,"2,107.03","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Dream Property,House for sale,"19,871,229",3,3,"1,170.61","Homagama, Colombo",Colombo,Homagama,Colombo,Homagama,,"Homagama, Colombo"
Brokered by PK Property Solutions,House for sale,"26,806,482",2,1,"2,407.67","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by Asantha Real Estate,House for sale,"30,516,830",5,5,"3,739.66","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Ideal Marketing,House for sale,"76,255,711",3,5,"3,925.31","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Dilruwan Real Estate,House for sale,"70,845,394",2,2,"1,578.49","Pamankada, Colombo",Colombo,Pamankada,Colombo,Pamankada,,"Pamankada, Colombo"
Brokered by Lakshan Rent House,House for sale,"10,000,000",2,1,"1,200.00","Homagama, Padukka",Colombo,"Homagama, Padukka",Colombo,Padukka,,"Homagama, Padukka"
Brokered by Mohammed Rizmi,House for sale,"39,624,172",4,5,"2,618.14","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Neththaru Property,House for sale,"77,779,545",5,5,"3,417.37","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Daraa Salam Properties,House for sale,"199,228,107",6,4,"4,438.96","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Sasiri Land Sale,House for sale,"38,458,400",5,4,"2,280.89","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by DJ Luxury Realty,House for sale,"190,097,981",3,4,"4,235.53","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by Property Solutions,House for sale,"169,935,216",4,3,"4,179.49","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by AP Lands And Housing Service,House for sale,"16,237,817",1,2,896,"Makadana, Colombo",Colombo,Makadana,Colombo,Makadana,,"Makadana, Colombo"
Brokered by AA Real Estate Agents,House for sale,"20,930,347",6,4,"2,564.89","Colombo 8, Colombo",Colombo,Colombo 8,Colombo,Colombo 8,,"Colombo 8, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"161,551,288",9,6,"4,209.32","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Dream Homes Real Estate Property,House for sale,"25,245,713",6,3,"2,436.88","Colombo 8, Colombo",Colombo,Colombo 8,Colombo,Colombo 8,,"Colombo 8, Colombo"
Brokered by BR Property Agents Pvt Ltd,Villa for sale,"127,274,963",3,4,"4,299.39","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by S Thedas Property,Villa for sale,"31,691,781",5,4,"3,883.65","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Dilruwan Real Estate,House for sale,"34,190,399",3,3,"2,028.96","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Prime Lands,House for sale,"139,547,415",6,4,"6,107.91","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by Property Management Company,House for sale,"26,560,260",6,3,"2,471.37","Colombo 8, Colombo",Colombo,Colombo 8,Colombo,Colombo 8,,"Colombo 8, Colombo"
Brokered by PEO Lands Real Estate,House for sale,"49,702,804",2,3,"1,107.42","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Property Management Company,House for sale,"70,700,150",5,3,"1,895.95","Maharagama, Colombo",Colombo,Maharagama,Colombo,Maharagama,,"Maharagama, Colombo"
Brokered by Telemarketing Colombo,House for sale,"41,321,747",3,2,"2,054.70","Morakatiya, Colombo",Colombo,Morakatiya,Colombo,Morakatiya,,"Morakatiya, Colombo"
Brokered by Infinity Properties,House for sale,"79,168,799",4,4,"1,763.94","Bambalapitiya , Colombo",Colombo,Bambalapitiya ,Colombo,Bambalapitiya ,,"Bambalapitiya , Colombo"
Brokered by Dilruwan Real Estate,House for sale,"50,936,158",4,3,"4,152.56","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by The King of SL Property,House for sale,"91,503,720",3,4,"2,113.04","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"372,087,566",7,5,"8,290.40","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by The King of SL Property,House for sale,"44,175,431",4,3,"3,932.29","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by PK Property Solutions,House for sale,"110,260,233",4,3,"4,889.37","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Dream Consultant,House for sale,"284,924,824",6,5,"6,348.35","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
